 Absolute color table: /Users/sternre1/idl/libs/idlusr/act_suncolors.txt

 desc = Solar Zenith Angle in Degrees 
 
 step_flag =        0
 step =       5.00000
 step_offset =      0.500000
 log = 0
 rgb = 1
 abs_flag = 1
 barmin =         0.0
 barmax =       180.0
 units = Deg

 Color table: Z=Independent Variable, H=Hue, S=Stauration, V=Value.
 
                 Z                 H                 S                 V
                 F                 F                 F                 F
  ----------------  ----------------  ----------------  ----------------
         128.00000         240.00000        0.35185185        0.63529414
         129.00000         240.00000        0.35802469        0.63529414
         130.00000         240.00000        0.36024845        0.63137257
         131.00000         240.00000        0.36645964        0.63137257
         132.00000         240.00000        0.37267080        0.63137257
         133.00000         240.00000        0.38124999        0.62745100
         134.00000         240.00000        0.38124999        0.62745100
         135.00000         240.00000        0.38749999        0.62745100
         136.00000         240.00000        0.39622641        0.62352943
         137.00000         240.00000        0.39622641        0.62352943
         138.00000         240.00000        0.40251571        0.62352943
         139.00000         240.00000        0.41139239        0.61960787
         140.00000         240.00000        0.41139239        0.61960787
         141.00000         240.00000        0.41772151        0.61960787
         142.00000         240.00000        0.42675158        0.61568630
         143.00000         240.00000        0.43312103        0.61568630
         144.00000         240.00000        0.43312103        0.61568630
         145.00000         240.00000        0.44230768        0.61176473
         146.00000         240.00000        0.44871795        0.61176473
         147.00000         240.00000        0.44871795        0.61176473
         148.00000         240.00000        0.45806453        0.60784316
         149.00000         240.00000        0.46451613        0.60784316
         150.00000         240.00000        0.47096774        0.60784316
         151.00000         240.00000        0.47402596        0.60392159
         152.00000         240.00000        0.48051947        0.60392159
         153.00000         240.00000        0.48701298        0.60392159
         154.00000         240.00000        0.49019608        0.60000002
         155.00000         240.00000        0.49019608        0.60000002
         156.00000         240.00000        0.50326800        0.60000002
         157.00000         240.00000        0.50657892        0.59607846
         158.00000         240.00000        0.51315790        0.59607846
         159.00000         240.00000        0.51315790        0.59607846
         160.00000         240.00000        0.51655626        0.59215689
         161.00000         240.00000        0.52980131        0.59215689
         162.00000         240.00000        0.52980131        0.59215689
         163.00000         240.00000        0.53333336        0.58823532
         164.00000         240.00000        0.54000002        0.58823532
         165.00000         240.00000        0.54666668        0.58823532
         166.00000         240.00000        0.55704701        0.58431375
         167.00000         240.00000        0.55704701        0.58431375
         168.00000         240.00000        0.56375837        0.58431375
         169.00000         240.00000        0.56756759        0.58039218
         170.00000         240.00000        0.57432431        0.58039218
         171.00000         240.00000        0.57432431        0.58039218
         172.00000         240.00000        0.58503401        0.57647061
         173.00000         240.00000        0.59183675        0.57647061
         174.00000         240.00000        0.59863943        0.57647061
         175.00000         240.00000        0.60273975        0.57254905
         176.00000         240.00000        0.60273975        0.57254905
         177.00000         240.00000        0.60958904        0.57254905
         178.00000         240.00000        0.61379308        0.56862748
         179.00000         240.00000        0.62068963        0.56862748
         180.00000         240.00000        0.62758619        0.56862748
 
